TechnicalDescription,failure_reason
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct Mapping to PlanningCategoryGroup column in DimPlanningCategory table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
Direct Mapping to EventType column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to ContractObjID column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to Contact Outcome column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values.,Missing source info
"Derived by applying decode logic on CompletedOn and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: Calculates time difference in minutes between CompletedOn and CreatedDateTime columns in Cases table. If the value is less than or equal to 30 minutes, it's hardcoded as 1, else 0.",Transformation logic
"Derived by applying decode logic on RequestAge_Days column in SupportRequestDetails_NRT intermediate table. The logic involves several conditional checks based on the values in RequestAge_Days, which categorize the data into different age buckets.",Transformation logic
Direct Mapping to AssignedTo of column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to OriginatingSystem  column in Cases table coming from DFM Events data processed by Cornerstone having Integer values.,Missing source info
"This logic derives a value by applying decode logic on KPIState column in the DimKPIState table and State, Name, and SRNumber columns in the KPIFlash intermediate table. The process includes joining DimKPIState and KPIFLASH, and using conditional checks to determine the final value of KPIStateKey.",Transformation logic
"Derived column in Commercial NRT using AgentId, RoutingContextId and SRNumber columns in CollaborationTask table coming from DFM Events data processed by Cornerstone. 
Step1- RoutingContextId will have value only for the CollaborationTask Event table where the routing is done
Step2- As soon as the case is assigned to an AgentId, that case will disapper from the queue which means the RoutingContextId will be null. 
Step3- PreviousRoutingContextId is introduced to retain previous RoutingContextId that the SRNumber was in.",Uncategorized
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct Mapping to UpdatedOn column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping of ClosedDateTime column from Cases table coming from DFM source from having Timestamp(UTC) values.,Missing source info
Direct Mapping to AssignedTo column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to UpdatedBy column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
Direct Mapping to State column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityType column in PhoneInteraction table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to SLAStartDateTime column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
"Derived by applying decode logic on Id and TaskType columns in EscalationTasks table from DFM Events processed by Cornerstone having integer values.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='EscalationTask'.
Step2- If TaskCountId coming from step 1 is NULL, it replaces it with 0 END AS EscalationTasks.",Transformation logic
Direct mapping to TenantName column in SupportRequestDetails_NRT intermediate table having string  values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to CreatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to AssignedTo column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to InternalTitle column  from Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Derived by applying decode logic on IsEUSchrems column in Collaboration table loaded from DFM Events data processed by Cornerstone . Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems,Transformation logic
"Derived by applying decode logic based on ProgramType column in Cases table coming  from DFM Events data processed by Cornerstone.
Logic: CASE When ProgramType = 'Azure ACE' then hardcoded as 1 else 0.",Transformation logic
"Derived by applying decode logic on IsEUSchrems column in Labor tabel loaded from DFM Events data processed by Cornerstone. 
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct mapping to FiscalWeekName column in DimTime table coming from Commercial NextDay Datamart within SA&DP having string values.,Missing source info
Direct Mapping to EntityType column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to PartnerId column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source  having String values ,Missing source info
Direct Mapping to CreatedOn column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on PerformedOn and CreatedDateTime in Labor and Cases table respectively coming from DFM Events data processed by Cornerstone having integer values.
Logic: Calculates the difference in minutes between the current timestamp and the PerformedON column in Labor table or CreatedDateTime column in Cases table based on which ever column is not null.",Transformation logic
Direct Mapping to CustomerWait_Minutes (Minutes) column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having decimal values.,Missing source info
Direct mapping to CaseType column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
"Derived attribute of datatype int based on EventDateTime, StateAnnotation and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic: When StateAnnotation = ('identifying the issue','identifying issue','scope') THEN it calculates the difference in minutes between EventDateTime and CreatedDateTime columns.",Transformation logic
Direct mapping to LaborSpanL1 column coming from static source provided by commercial business.,Missing source info
Direct Mapping to AgentIdLastUpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to GeographyLevel2Name column in DimGeography table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
Logic: When StateAnnotation = ('waiting for confirmation' ,'resolved' ,'resolved external' ,'resolved by customer') THEN 1 ELSE 0 .",Transformation logic
Direct mapping to State column in SupportRequestDetails_NRT intermediate table having  String values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
"Derived by applying decode logic on StateAnnotation and EventDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic: It extracts the date portion of EventDateTime when StateAnnotation matches specific values. If the value is null, it replaces it with -1.",Transformation logic
Direct Mapping to column Severity  in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to ServicePackageName column coming from DimARRService table.,Missing source info
Direct Mapping to IsM365 column in CollaborationTask table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
"Derived by applying decode logic based on ServiceRequestID column in Cases table coming from DFM Events data processed by Cornerstone and DataSourceKey column in DimDataSource table coming from Commercial NextDay Datamart within SA&DP.
Logic: If DatasourceKey=3, it assigns 'Yes' if ServiceRequestID is not NULL, otherwise 'No'. If DatasourceKey is not 3, it assigns 'Unknown'.",Transformation logic
Direct Mapping to CreatedBy column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityAction column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to IsMailSent  column in SupportRequestPreCommunication table coming from upstream Amplify source having boolean values.,Missing source info
Direct mapping to ARRType column coming from DimARRService table.,Missing source info
Direct mapping to CreateDateTime  column in SupportRequestPreCommunication table coming from Amplify source having Timestamp(UTC) values.,Missing source info
Direct Mapping to AgentLineOfBusiness column in Cases table coming from DFM Events data processed by Cornerstone having string values. ,Missing source info
Direct Mapping to OneCloud Used column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct mapping to SortL1 column coming from static source provided by commercial business.,Missing source info
"Indirect mapping to GlobalContractKey in DimGlobalContract table coming from Commercial NextDay Datamart within SA&DP.
Logic: Step1- It is fetched by joining Cases table coming from DFM Events data processed by Cornerstone with DimGlobalContract(DGC) when the below following conditions are met.
When Cases.ContractObjId = DGC.GlobalContractID
AND Cases.ContractScheduleId = DGC.GlobalContractScheduleId
AND Cases.ContractSiteID = DGC.GlobalInstallationSiteID
Step2 - If GlobalContractKey is NULL from step1 then replaces it with -1. ",Missing source info
Direct Mapping to CreatedOn column in CollaborationTask table coming  from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on ProgramType column in Cases table coming from DFM Events data processed by Cornerstone source having string values.
Logic :  CASE When ProgramType = '%d365%' then hardcoded true else false.",Transformation logic
Direct Mapping to IsPartnerServiceRequest column in DimSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having boolean values.,Missing source info
Direct Mapping to CreatedBy column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to ServiceOfferingLevel4 column in DimServiceOfferingMaster table coming from Commercial NextDay Datamart within SA&DP source having string values.,Missing source info
Direct mapping to ARRTypeDerived column in FactSREvents table.,Missing source info
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
Logic: When StateAnnotation = ('resolved','resolved external','resolved by customer') THEN 1 ELSE 0 .",Transformation logic
"Derived column in Commercial NRT using AgentId, RoutingContextId and SRNumber columns in FollowUpTask table coming from DFM Events data processed by Cornerstone. 
Step1- RoutingContextId will have value only for the FollowUpTask Event table where the routing is done.
Step2- As soon as the case is assigned to an AgentId, that case will disapper from the queue which means the RoutingContextId will be null. 
Step3- PreviousRoutingContextId is introduced to retain previous RoutingContextId that the SRNumber was in.",Uncategorized
Direct Mapping to ClosedDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source  having timestamp values in UTC.,Missing source info
Direct Mapping to ExtensionAttributesSR column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
This is reference attribute to the DimServiceOffering table to get more details about the SRServiceOffering. It is populated by joining ServiceName column in DimServiceOffering coming from Commercial NextDay Datamart within SA&DP with SKU column in IncidentRedemption table coming from DFM Events data processed by Cornerstone.,Conditions of join
Derived attribute of datatype boolean on basis of KPIState='Complete' coming from DimKPIState table coming from UDPCommercial_NRT.,Uncategorized
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
Direct mapping to AgentIdLastUpdatedDateTime column in Cases table coming from DFM Events data processed by Cornerstone having TimeStamp(UTC) values.,Missing source info
"This is reference key to the DimPESProduct to get more details of PESProduct. This key is populated by joining PesproductId column in DimPESProduct table with PesproductId column in DimSupportAreaPath, both the tables coming from Commercial NextDay Datamart within SA&DP",Conditions of join
Direct mapping to TimeOfDayID column in DimTImeOfDay table coming from Commercial NRT Datamart within SA&DP source having integer values.,Missing source info
This is reference key to DimEmployee to get more details of the employee associated with survey response. It is populated by joining the systemuserid column in systemuser table from cornerstone source with NativeAgentId column in the DimEmployeeMapping table in UDP Common Database for dynamics cases.,Missing source info
Direct mapping to CallMeNow column in SupportRequestDetails_NRT intermediate table having boolean values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP NRT,Uncategorized
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
Direct Mapping to IsM365 column in Cases table coming from DFM Events data processed by Cornerstone having Boolean values ,Missing source info
Direct Mapping to IsM365 column in EscalationTask table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to CaseNumber column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to CreatedDateTime  column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
Direct Mapping to DirectAgentOfferRouting column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to ServiceName column in SupportRequestDetailsSIPv2 table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct mapping to OrganizationName column in SupportRequestDetails_NRT intermediate table having String  values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct mapping to CurrentManagerEmail column in DimEmployee Table coming from Commercial NextDay Datamart within SA&DP source.,Missing source info
Direct mapping to IsCritSit column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct mapping to TeamId  column in Cases table coming from DFM Events data processed by Cornerstone source having String values.,Missing source info
Direct Mapping to SAPId (Support Area Path Id) column in FollowUpTask table coming from DFM Events data processed by Cornerstone.,Missing source info
"Derived by applying decode logic on IsEUSchrems column in EscalationTask table loaded from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' THEN TRUE ELSE FALSE END AS IsEUSchrems",Transformation logic
Direct Mapping to CaseNumber column in DFM Events data having integer values.,Missing source info
"Derived by applying decode logic on Id and TaskType columns in CollborationTask table coming from DFM Events processed by Cornerstone source.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='CollaborationTask'.
Step2- If TaskCountId from step 1 is NULL, it is replaced with 0 END AS CollaborationTasks.",Transformation logic
Direct Mapping to SupportTier column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
"Derived by applying decode logic on IsEUSchrems column in Collaboration table coming from DFM Events data processed by Cornerstone.
Logic: If  IsEUSchrems =  'eu' Then TRUE Else FALSE END AS IsEUSchrems",Transformation logic
Direct Mapping to StateLastUpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic based on AgentId column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.
Logic : WHEN AgentId IS NULL THEN hardcoded as 0 else 1",Transformation logic
"This attribute has static values (Unknown, Critical) provided by Commercial Business and uploaded through a flat file.",Uncategorized
Direct Mapping to Target column in KPI table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on EventDateTime column in DFM Events data processed by Cornerstone.
Logic: Extracts the date portion of EventDateTime. If SRModifiedTimeId is null, it is replaced with -1.",Transformation logic
This is reference attribute to the DimGeography table to get more details about the CountryName. It is populated by joining TenantCountry column in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation)  with ISOCountryShortCode column in DimGeography table coming from Commercial NextDay Datamart within SA&DP,Conditions of join
"This Attribute has a static value (2001,2002,2003,2004,2005) uploaded through flat file.",Uncategorized
Direct Mapping to SupportCountry column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to EventType column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to KpiType column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to RouteDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
Direct Mapping to InternalTitle column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct mapping to ReportingWeekStartDate column in DimTime table coming from Commercial NextDay Datamart within SA&DP having TimeStamp(UTC) values.,Missing source info
Direct Mapping to Duration  column in Labor table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct mapping to FiscalCumulativeMonth column in DimTime table coming from Commercial NextDay Datamart within SA&DP source having integer values.,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone source.
Logic:  When State ='Open' it calculates the difference in hours between Current Timestamp and CreatedDateTime column in Cases table.
               When State ='Closed' it calculates the difference in hours between StateLastUpdatedDateTime and CreatedDateTime columns in Cases table.
                If the result when either of the above conditions met it assign 1 else it assign 0 when any of the DateTime column is null.",Transformation logic
Direct Mapping to IsSyncEvent column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
Direct Mapping to CauseIdSource column in Cases table coming from DFM Events data processed by Cornerstone having string values ,Missing source info
Direct Mapping to AssignmentPending column in FollowUpTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to EntityURI (Entity  Universal Resource Identifier)  column in Labor table coming from DFM Events data processed by Cornerstone having string values. It is the Url to access the event through web.,Missing source info
"Derived attribute of datatype Int based on CreatedDateTime column coming from DFM Events processed by Cornerstone source.
Logic: Considering only the date part (and excluding the time part) from the DateTime provided in the yyyyMMdd format.",Transformation logic
"This derived attribute extracts the date portion from CreatedDateTime and removes hyphens, assigning a value of -1 if the result is NULL.",Uncategorized
Direct Mapping to Severity column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to TransferReason column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
"Reference Key to the DimCauseType table is used to get more details about CauseTypeKey, populated by joining CauseType column in Cases table with CauseType column in the DimCauseType table.",Conditions of join
Direct Mapping to CaseNumber  column in SlaItem table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to CreatedBy  column in Labor table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to StateAnnotation column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to State column in EscalationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"Derived by applying decode logic on ChannelOrgCode,FunctionHierarchyKey,ChannelOrgSummaryName, IsCEnS columns in DimFunctionHierarchy table coming from MDM source. 
Logic:
          If lower(ChannelOrgCode)='b20e' Then true
          If FunctionHierarchyKey=-1 or ChannelOrgSummaryName='Unknown' or FunctionHierarchyKey is Null THEN
              CASE 
              If   MDM.IsCEnS is not null then Cast(MDM.IsCEnS as Boolean)
              Else true
              END
         WHEN lower(ChannelOrgCode)<>'b20e' Then false
          Else true
          END AS IsCEnS ",Transformation logic
"Dervied by applying decode logic on Causetype column in Cases table coming DFM Events data processed by Cornerstone source having string values.
Logic :CASE When CasueType='Bug' then hardcoded as 1 else 0.",Transformation logic
Direct Mapping to AgentIdLastUpdatedOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
This is reference key to the DimDataSource table to get more details of DataSourceKey. It is populated by joining ActiveSystem column in Cases table coming from DFM Events data processed by Cornerstone source with DataSourceName column in DimDataSource coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct Mapping to Is24X7OptedIn column in FactSREvents table coming from Commercial NRT Datamart within SA&DP source having boolean values.,Missing source info
"Derived by applying decode logic based on Severity column in Cases table coming from DFM Events data processed by Cornerstone source.
Logic :  If the severity from cases table is unknown (either explicitly set to -1 or null), it is labeled as 'Unknown'. 
                 If the severity is '2', it is labeled as 'A'. If it's '3', it's labeled as  'B', and if it's '4', it's labeled as 'C'.",Transformation logic
Direct Mapping to EndsOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to IsInternal column in SupportRequestPreCommunication table coming from upstream Amplify source having boolean values.,Missing source info
Direct Mapping to SupportLanguage column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Timestamp in UTC at which record is inserted by ETL process in UDP NRT,Uncategorized
Direct mapping to CreatedDateTime  column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
Direct Mapping to State column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
"This is reference Key to the DimKPIState table to get more details about KPIState corresponding to InitialResponseState.It is populated by joining KPIState column in Cases table with State column in SlaItem table, both the tables coming from DFM Events data processed by Cornerstone source.",Conditions of join
"Derived by applying decode logic on PartnerId, State and AcknowledgeDateTime columns in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation).
Logic: CASE WHEN PartnerId IS NULL OR AcknowledgeDateTime IS NULL AND STATE = 'active' THEN 'Unassigned' ELSE 'Assigned' END AS AssignedStatus",Transformation logic
Timestamp(UTC) at which record is updated by ETL process in UDP NRT,Uncategorized
Timestamp(UTC) at which record is inserted by ETL process in UDP NRT,Uncategorized
"Derived by applying decode logic on EventDateTime and CreatedDateTime columns in Cases table coming from DFM Events data processed by Cornerstone.
Logic:  It calculates minute difference between EventDateTime and CreatedDateTime column when EntityAction= 'AgentAssigned' in cases table.",Transformation logic
"This is reference key to the DimPhase table to get more details abour Phase. This key is populated by joining Phase column in FactSRSupportData table with Phase column in Cases table, both the tables comng from Commercial NRT Datamart within SA&DP.",Conditions of join
Direct mapping to PlanningCategoryKey column in FactSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source.,Missing source info
Timestamp in UTC at which record is updated by ETL process in UDP,Uncategorized
This logic calculates the time difference in minutes between CompletedOn and CreatedDateTime columns in the Cases table and uses that to assign a value of 1 or 0 based on whether the difference is less than or equal to 30 minutes.,Transformation logic
This is reference key to DimEmployee to get more details of the employee associated with survey response. It is populated by joining the systemuserid column in systemuser table from cornerstone source with NativeAgentId column in the DimEmployeeMapping table in UDP Common Database for dynamics cases.,Missing source info
Direct Mapping to StartDateTime column in Cases table coming from DFM Events data processed by Cornerstone having Timestamp(UTC)values.,Missing source info
"Indirect mapping to IRStatusKey in DimIRStatus table coming from Commercial NRT Datamart within SA&DP.
Logic: Step 1 - It is fetched by joining IRStatus column in DimIRStatus table with IRStatus column in SlaItem table coming from DFM Events data processed by Cornerstone.
Step 2 - If IRStatusKey is NULL, replace it with -1.",Missing source info
This is reference key to the DimQueue to get more details of Queue.This key is populated by joining RoutingContextId column in Cases table coming from DFM Events data processed by Cornerstone with NativeQueueId column in DimQueue table coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct mapping to AgentIdLastUpdatedDateTime column in Cases table coming from DFM Events data processed by Cornerstone having TimeStamp(UTC) values.,Missing source info
Direct mapping to RestrictedAccessProgramName column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
This is reference attribute to the DimGeography table to get more details about the GeographyLevel1Name. It is populated by joining TenantCountry column in SupportRequestDetails_NRT intermediate table (refer entity desc for SupportRequestDetails_NRT table derivation) with ISOCountryShortCode column in DimGeography table coming from Commercial NextDay Datamart within SA&DP,Conditions of join
Direct Mapping to Severity column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to EventType column in KPI table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to SubOrg column in SupportRequestDetails_NRT intermediate table having String values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
"Derived by applying decode logic on State, StateLastUpdatedDateTime, and CreatedDateTime columns in Cases table.
Logic: Computes hours between CreatedDateTime and the current timestamp if State is 'Open', or between CreatedDateTime and StateLastUpdatedDateTime if State is 'Closed'.",Transformation logic
Direct Mapping to CreateDateTime column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having timestamp values in UTC.,Missing source info
Direct Mapping to AssignedToAssignedCount column in Cases table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct Mapping to ReopenReason column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having  String values.,Missing source info
"Derived by applying decode logic on KPIState column in DimKPIState table coming from Commercial NextDay Datamart within SA&DP and  State, Name and SRNumber columns in KPIFlash intermediate table.
KPIFLASH: This intermediate table is derived from KPI table coming from DFM Events data processed by Cornerstone by taking SRNumber, max of State column by grouping on SRNumber and Lower(Name) 
Logic -  
Step-1: DimKPIState table is joined with KPIFLASH intermediate table on join condition DimKPIState.KPIState = KPIFLASH.State and LOWER(KPIFLASH.Name) = 'fwr' to pick max of DimKPIState.KPIStateKey grouped by on KPIFLASH.SRNumber
Step-2: If KPIStateKey derived in step 1 is NULL then hardcoded as -1 else whatever value coming in KPIStateKey is populated.",Transformation logic
"This logic uses decode logic based on ServiceRequestID and DataSourceKey columns from the Cases table and DimDataSource table to assign 'Yes', 'No', or 'Unknown' values based on conditions applied to the columns.",Transformation logic
Direct mapping to SecondaryTicketnumber column in SupportRequestDetails_NRT intermediate table having integer values (refer entity desc for SupportRequestDetails_NRT table derivation).,Missing source info
Direct Mapping to UpdatedBy  column in Labor table coming from DFM Events data processed by Cornerstone having  String values.,Missing source info
This is reference attribute to the DimServiceOffering table to get more details about the SRServiceOffering. It is populated by joining ServiceName column in DimServiceOffering coming from Commercial NextDay Datamart within SA&DP with SKU column in IncidentRedemption table coming from DFM Events data processed by Cornerstone.,Conditions of join
"Derived attribute of datatype boolean based on StateAnnotation column in Cases table coming from DFM Events data processed by  Cornerstone.
Logic: When StateAnnotation = 'waiting for confirmation'  THEN 1 ELSE 0 .",Transformation logic
This is reference key to the DimDataSource table to get more details of DataSourceKey. It is populated by joining ActiveSystem column in Cases table coming from DFM Events data processed by Cornerstone source with DataSourceName column in DimDataSource coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct Mapping to CaseTransferReasonDescription column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
"This logic uses decode logic based on the CompletedDateTime, ExpireDateTime, and SlaType columns in the Cases table to categorize status values into 'Met', 'Missed', or 'Unknown' depending on the conditions applied to the respective times.",Transformation logic
Direct mapping to CustomerProgramPriority column in Cases table coming from DFM Events data processed by Cornerstone source having string values.,Missing source info
Direct Mapping to Description column in CollaborationTask Table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
Direct Mapping to EndsOn column in FollowUpTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct Mapping to EntityURI column in CollaborationTask table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping of CaseNumber column in Cases table coming from DFM Events data processed by Cornerstone.,Missing source info
Direct Mapping to IsBlocking column in FollowUpTask table coming from DFM Events data processed by Cornerstone having boolean values.,Missing source info
Direct Mapping to EntityURI (Entity  Universal Resource Identifier)  column in SlaItem table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct mapping to IsM365SR column in Cases table coming from DFM Events data processed by Cornerstone source having boolean values.,Missing source info
"Direct mapping to PlanningCategoryKey column in FactSupportServiceRequest table, indicating an integer value based on the source.",Missing source info
Direct Mapping to UpdatedOn column in EscalationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
Direct mapping to CurrentSupportAreaKey column in FactSupportServiceRequest table coming from Commercial NextDay Datamart within SA&DP source having interger values.,Missing source info
"Derived by applying decode logic on ProgramType column in Cases table coming  from DFM Events data processed by Cornerstone having string values.
Logic : CASE When ProgramType = '%m365%'  then true else false",Transformation logic
Direct Mapping to SupportAreaPathIssue column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to RescheduleCount column in FollowUpTask table coming from DFM Events data processed by Cornerstone having integer values.,Missing source info
Direct mapping to StateAnnotation column in Cases table coming from DFM Events data processed by Cornerstone having string values.,Missing source info
Direct Mapping to RoutingContextId column in Cases table coming from DFM Events data processed by Cornerstone having String values ,Missing source info
Direct Mapping to OneCloud Used column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
"Derived by applying decode logic based on Id and TaskType columns in FollowUpTasks table coming from DFM Events processed by Cornerstone having integer values.
Logic: Step1- We take the distinct Id as TaskCountId when TaskType='FollowupTask'.
Step2- If TaskCountId coming from step1 is NULL, it replaces it with 0 END AS FollowupTasks.",Transformation logic
"Derived attribute of datatype Int based on CreatedDateTime column coming from DFM Events processed by Cornerstone source.
Logic: Considering only the date part (and excluding the time part) from the DateTime provided in the yyyyMMdd format.",Transformation logic
Direct Mapping to CaseStatus column in SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having string values.,Missing source info
Direct Mapping to SubOrg columns from  SupportRequestDetailsSIPv2 Table coming from Rave data processed by Amplify Source having String values.,Missing source info
Direct Mapping to EntityType column in CollaborationTask table coming from DFM Events data processed by Cornerstone having String values.,Missing source info
This is reference key to the DimQueue table to get more details about about Queue. This key is populated by joining RoutingContextId column in Cases table coming from DFM Events data processed by Cornerstone source with NativeQueueId column in DimQueue table coming from Commercial NextDay Datamart within SA&DP.,Conditions of join
Direct Mapping to StateLastUpdatedOn column in CollaborationTask table coming from DFM Events data processed by Cornerstone having timestamp values in UTC.,Missing source info
"Derived by applying decode logic on MinutesPastSLA column in FactSREvents.
Logic: Formats MinutesPastSLA into a string representation of days and hours.",Transformation logic
