Direct mapping to TO_INTERACTION_RESOURCE_ID column having long values coming from TRANSFER_FACT table from genesys source,,Ok,,
"This is a reference key to DimDate table to get more details about the EndDate of the agent assigned to the particular phone interaction. 
This key is populated by joining ToStartDateTime from source with CalendarDate from DimDate
TRANSFER_FACT and DimDate tables are joined on ToStartDateTime.TRANSFER_FACT coming from genesys source and CalendarDate.DimDate from UDP and
DateUTCKey is picked from DimDate table to populate ToStartUTCDateKey",,Ok,Refer rno - 13 review comments,
"This is a reference key to DimTime table to get more details about the EndTime of the agent assigned to the particular phone interaction. 
This key is populated by joining ToStartDateTime from source with CalendarDate from DimDate
TRANSFER_FACT and DimTime tables are joined on ToStartDateTime.TRANSFER_FACT coming from genesys source and CalendarDate.DimTime from UDP and
TimeUTCKey is picked from DimTime table to populate ToStartUTCDateKey",,Ok,Refer rno - 13 review comments,
"This is a reference key to DimEmployee table to get more details about the agent to which a phone interaction was transferred.
This key is populated by joining TransferredAgent from source with UserId from DimEmployee
TRANSFER_FACT and DimEmployee tables are joined on TransferredAgent.TRANSFER_FACT coming from genesys source and UserId.DimEmployee from UDP and
EmployeeKey is picked from DimEmployee table to populate TransferredEmployeeKey",,Ok,Refer rno - 13 review comments,
"This is a reference key to DimVendorSite table to get more details about VendorSite details of agent 
to which phone interaction was transferred. 
TRANSFER_FACT and DimEmployee tables are joined on either concatenation of TRANSFERRED_VENDORCODE.TRANSFER_FACT,TransferredSiteCode.TRANSFER_FACT or TransferredAgent.TRANSFER_FACT coming from genesys source and VendorSiteCode.DimVendorSite from UDP and
VendorSiteKey is picked from DimVendorSite table to populate TransferredVendorSiteKey",,Ok,Refer rno - 13 review comments,
END B4 2,,,,
END B5 Bad Data,,,,
TechnicalDescription,L1 Review Comment,L2 Review Comment,Review Comment L3,
This table contains Commercial ticket data coming from SA&DP Commercial source. It is derived from DimSupportServiceRequest and FactSupportServiceRequest tables. Grain:ServiceRequestID,Ok,"I don't think this is all commercial tickets through, on MLGCS?",,
This table contains Commercial Interaction data coming from SA&DP Commercial source. It is derived from FactInteraction table. Grain: ServiceRequestInteractionID,OK,What is interaction Data?,,
Surrogate Key generated based on ServiceRequestInteractionID column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
Direct mapping to CreatedByType column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
Timestamp in UTC at which record is inserted by ETL process in UDP,OK,What is interaction Data?,,
Timestamp in UTC at which record is updated by ETL process in UDP,OK,What is interaction Data?,,
"Derived attribute of DataSourcekey column in FactIncidentInteraction table coming from SA&DP Commercial source. Logic: Join the FactIncidentInteraction table with the DimDataSource table using the DataSourceKey column, thus denormalizing datasourcekey to retrieve the DataSource column",OK,What is interaction Data?,,
Direct mapping to InteractionDirection column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
Direct mapping to InteractionType column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
Direct mapping to ServiceRequestKey column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
Direct mapping to ServiceRequestInteractionID column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
Direct mapping to InteractionStatus column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
Direct mapping to UpdatedByType column in FactIncidentInteraction table coming from SA&DP Commercial source,OK,What is interaction Data?,,
This table contains details of attributes belonging to consumer tickets coming from ASDCAP source. Grain: ServiceRequestID,Ok,Ok - lot of this is ASD which should be gone soon,,
This table contains Language data coming from SA&DP Commercial source. Grain: NativeLanguage,Ok,Ok - but should be replaced with Common Language ,,
Direct mapping to GeographyLevel1Name column in Geography table coming from ASDCAP source,OK,Odd - these are coming from ASD,,
Direct mapping to GeographyLevel2Name column in Geography table coming from ASDCAP source,OK,Odd - these are coming from ASD,,
Direct mapping to GeographyLevel3Name column in Geography table coming from ASDCAP source,OK,Odd - these are coming from ASD,,
Direct mapping to GeographyLevel4Name column in Geography table coming from ASDCAP source,OK,Odd - these are coming from ASD,,
"This table contains details of initiatives taken by Microsoft to increase customer, coming from UCM source. Grain: InitiativeId",Ok,Kasi - is this something you know about?,,
Timestamp in UTC at which record is inserted by ETL process in UDP,OK,Kasi - is this something you know about?,,
Timestamp in UTC at which record is updated by ETL process in UDP,OK,Kasi - is this something you know about?,,
Direct mapping to InitiativeEndDate column in OARInitiative table coming from UCM source,OK,Kasi - is this something you know about?,,
Direct mapping to InitiativeId column in OARInitiative table coming from UCM source,OK,Kasi - is this something you know about?,,
Surrogate Key generated based on InitiativeId column in OARInitiative table coming from UCM source,OK,Kasi - is this something you know about?,,
Direct mapping to InitiativeName column in OARInitiative table coming from UCM source,OK,Kasi - is this something you know about?,,
Direct mapping to InitiativeStartDate column in OARInitiative table coming from UCM source,OK,Kasi - is this something you know about?,,
Direct mapping to InitiativeStatus column in OARInitiative table coming from UCM source,OK,Kasi - is this something you know about?,,
"This table contains details of various Issues, for which Agent contacts customer, coming from MDM source. Grain: IssueCode1,IssueCode2,IssueCode3,IssueCode4,MSAScenario,MSAScenarioType",Ok,Ok - but I plan to replace with SAPs,,
"This table contains scenario and issuecode details coming from MSA tool. Grain: IssueCode1,IssueCode2,IssueCode3,IssueCode4,IssueCode5,IssueCode6,ScenarioType,Scenario",Ok,"I believe this can be retired, it only worked for ASD",,
Direct mapping to AsdArea column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to AsdCustomerCalledReason column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to AsdFocus column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to AsdIssue column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to AsdRootCause column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to ASDScenario column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to AsdTopic column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Timestamp in UTC at which record is inserted by ETL process in UDP,OK,"I believe this can be retired, it only worked for ASD",,
Timestamp in UTC at which record is updated by ETL process in UDP,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to IssueCode1 column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to IssueCode2 column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to IssueCode3 column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to IssueCode4 column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to IssueCode5 column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to IssueCode6 column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
"Surrogate Key generated  based on the combination of  IssueCode1,IssueCode2,IssueCode3,IssueCode4,IssueCode5,IssueCode6,Scenario,ScenarioType columns in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source",OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to Scenario column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
Direct mapping to ScenarioType column in viw_Consumer_MSAScenarioCategory_LEAF table from MDM Source,OK,"I believe this can be retired, it only worked for ASD",,
This table contains ticket scenario category details coming from MDM sources. Grain: Scenario,Ok,Ok - Can be retired was surface ASD only,,
Direct mapping to Category column in vw_IssueCodeMapping table coming from MDM source,OK,Ok - Can be retired was surface ASD only,,
Timestamp in UTC at which record is inserted by ETL process in UDP,OK,Ok - Can be retired was surface ASD only,,
Timestamp in UTC at which record is updated by ETL process in UDP,OK,Ok - Can be retired was surface ASD only,,
Direct mapping to Scenario column in vw_IssueCodeMapping table coming from MDM source,OK,Ok - Can be retired was surface ASD only,,
"Surrogate Key generated based on Category,Scenario columns in vw_IssueCodeMapping table coming from MDM source",OK,Ok - Can be retired was surface ASD only,,
"This table contains details of various customer divisions coming from UCM source. Grain: L1Segment,L2Segment,L3Segment,ServiceLevel",Ok,??,,
Timestamp in UTC at which record is inserted by ETL process in UDP,OK,??,,
Timestamp in UTC at which record is updated by ETL process in UDP,OK,??,,
"Derived by applying decode logic on L1ServiceSegmentName,L2ServiceSegmentName,L3ServiceSegmentName,L4ServiceSegmentName columns in DimSegmentView table coming from UCM source. Logic: If the data for the columns L1ServiceSegmentName, L2ServiceSegmentName, L3ServiceSegmentName, L4ServiceSegmentName is not available in the UCM source but is available in SA&DP, then the result is 0; otherwise, it is 1",OK,??,,
Direct mapping to L1ServiceSegmentName column in DimSegmentView table coming from UCM source,OK,??,,
Direct mapping to L3ServiceSegmentName column in DimSegmentView table coming from UCM source,OK,??,,
Direct mapping to L3ServiceSegmentName column in DimSegmentView table coming from UCM source,OK,??,,
"Surrogate Key generated based on L1ServiceSegmentName,L2ServiceSegmentName,L3ServiceSegmentName,L4ServiceSegmentName columns in DimSegmentView table coming from UCM source",OK,??,,
Direct mapping to L4ServiceSegmentName column in DimSegmentView table coming from UCM source,OK,??,,
This table contains attributes of consumer incidents coming from Dynamics source. Grain: ServiceRequestID,Ok,Ok - there are DFC Part B attributes,,
"This dimension table contains information around the tactic being pitched in tactics table coming from Unified Customer Management source. Grain: TacticKey, TacticNativeId.","Data granularity details missing,tablename and is UCM source ? Please specify the details appropriately. 
Source information to be provided in detail",??,,
"Surrogate Key generated for TacticId from tactics table, Unified Customer Management source.","Source details is missing
Source information to be provided in detail",??,,
Direct mapping to TacticCategoryName column in tactics table from Unified Customer Management source having string values. ,"plz specifiy the source details appropriately with tablenames and column names and source details for Eg. please refer row no 665,666
Source information to be provided in detail",??,,
Timestamp in UTC at which record is inserted by ETL process in UDP,OK,??,,
Timestamp in UTC at which record is updated by ETL process in UDP,OK,??,,
Direct mapping of TacticTitle column in tactics table from Unified Customer Management source having string values.,"plz specifiy the source details appropriately with tablenames and column names and source details for Eg. please refer row no 665,666
Source information to be provided in detail",??,,
Direct mapping to TacticID column in tactics table from Unified Customer Management source having integer values.,Source entity name is missing,??,,
Direct mapping to TacticCode column in tactics table from Unified Customer Management source having integer values. ,Source information to be provided in detail ,??,,
Entity contains associated Team details of Business Groups for particular Area and Region maintained by CAPS Business Team provided through onetime excel which is rarely updated. Grain - TeamId,Till when the data is there or is  totally depreciated from system,"I don't thjnk this is Rave Team, looks like CAPS",,
"This table contains fields related to product details coming from AIPMR source. Grain - StartDate,DaysFromLaunch,DeviceType",Grain is missing,Ok - is this still needed since Hololens cancelled?,,
END B6,,,,
TechnicalDescription,L1 Review Comment,L2 Review Comment,Review Comment L3,
"Fact table contains chat data in FactChat table coming from SA&DP Commercial source. Grain: VisitId,EngagementID,AgentId",OK,,,
Fact table contains details of Commercial incidents in FactSupportServiceRequest table coming from SA&DP Commercial source. Grain: ServiceRequestID ,OK,,,
Fact table contains details of Interactions created for Commercial incidents in FactInteraction table coming from SA&DP Commercial source. Grain: ServiceRequestInteractionID ,OK,,,
Fact table contains details of Tasks created for Commercial incidents in FactTask table coming from SA&DP Commercial source. Grain: ServiceRequestTaskKey ,OK,,,
Fact table contains details of Labor data in FactLabor table coming from SA&DP Commercial source. Grain: ServiceRequestNumber ,OK,,,
END B7,,,,
TechnicalDescription,L1 Review Comment,L2 Review Comment,Review Comment L3,
"This table contains consumer revenue metrics like Total Revenue, Order Count etc. coming from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, MsOrder-Materialized DeltaStream files coming from upstream source cornerstone, Asimov.v4.Cll file coming from upstream source cornerstone and RevenueReport-Insession and CrossSession excel files provided by Store Business Team Sources",ok,,,
"Derived by applying union of decode logic on SKU column from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team and SKUID column of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone:
Logic : If SKU contains values like 'm#' or 'b-' then removed 'm#', 'b-'from SKU by regexp_replace(lower(col(""SKU"")), ""m#"", """") otherwise SKU",OK,,,
"This is a reference key to DimEmployee table to get details of the Agent worked on OneStore Order. Logic: EmployeeKey is populated by joining the Alias,Agent and Alias columns coming from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team source; RevenueReport-Insession and CrossSession excel files provided by Store Business Team; Asimov.v4.Cll file coming from upstream source cornerstone respectively with Userid in the DimEmployee",ok,,,
This is a reference key to DimStoreClient table to get details of the StoreClientId of the OnestoreTransaction Orders. Logic: StoreClientKey is populated by joining the StoreClientId  coming of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone maintained in Cosmos with StoreClientId in the DimStoreClient,OK,,,
"Direct Mapping to ORDER_DATE, GoalTimeStamp and OrderCreatedDate columns from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team; RevenueReport-Insession and CrossSession excel files provided by Store Business Team; Asimov.v4.Cll file coming from upstream source cornerstone which are converted to PST by from_utc_timestamp(col(""ORDER_DATE""), ""PST""))",OK,,,
This is a Reference Key to DimServiceActivityTopic which Helps to determine latest Topic name of ChatConversation for OneStoreTransaction Orders. Logic: ServiceActivityTopicKey is populated by joining EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with ConversationId column from FactMessaging present in UDPMLGCS Datamart and selected ServiceActivityTopic Key,ok,,,
"This is a reference key to DimSalesProduct table to get Product details of the OneStoreTransaction Order. Logic: SalesProductKey is populated by joining the SKUId column from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team and SKUID column of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone with SalesProductSKU in the DimSalesProduct",OK,,,
This is a reference key to DimSubPlanningCategory table to get SAP details of the OneStoreTransaction Order. Logic: SubPlanningCategoryKey is populated by joining the Skill column RevenueReport-Insession and CrossSession excel files provided by Store Business Team  with FullName in the DimSupportQueue and DimSupportQueue joined with DimSubPlanningCategory by SubPlanningCategoryID from both tables and selected SubPlanningCategoryKey,OK,,,
"This is a reference key to DimVendorSite table to get more details about Company and Location of the Agent of OnestoreTransaction Orders. Logic: VendorSiteKey is populated by joining with Vendor and Site fields which are derived by applying decode logic on VendorSiteCode column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, AppId column coming from Asimov.v4.Cll file coming from upstream source cornerstone and Vendor column from viw_Consumer_QueueAttributes view from MDM source with Vendor and Site fields from DimVendorSite",ok,,,
Timestamp in UTC at which record is updated by ETL process in UDP,OK,,,
This attribute is calculated using columns DistributorId and Orders from RevenueReport-Insession and CrossSession excel files provided by Store Business Team and MsOrder-Materialized DeltaStream files coming from upstream source cornerstone respectively. Logic: If len(DistributorId) == 4 then Orders else HardCoded as 0,OK,,,
This is a Reference Key to DimServiceActivityCategory which Helps to determine whether the conversation is proactive or button based on very first category of OneStoreTransaction Orders. Logic: ServiceActivityCategoryKey is populated by joining EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with ConversationId column from FactMessaging present in UDPMLGCS Datamart and selected ServiceActivityCategoryKey,ok,,,
"This is a reference key to DimSupportOffer table to get  info about the Offer provided to customers. Logic: SupportOfferKey is populated by joining the Offer coming from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team with SupportOfferName in the DimSupportOffer",OK,,,
This is a reference key to FactServiceRequest table to get details about the Case related flags. Logic: ConsumerServiceRequestAttributesKey is populated by joining with ServiceRequestId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team and ServiceRequestId  column of Asimov.v4.Cll file coming from upstream source cornerstone with ServiceRequestId from FactServiceRequest,ok,,,
Derived by applying decode logic on RevenueAmount coming from FactRevenue present in UDPMLGCS DataMart. Logic: If RevenueAmount == 0 then HardCoded as 1 else HardCoded as 0 ,ok,,,
"Derived by applying decode logic on DistributorId and RevenueAmount column coming from FactRevenue present in UDPMLGCS DataMart. logic: if length of column DistributorId = 4, then RevenueAmount.",ok,,,
This is a reference key to DimTopic table to get the topic related to ticket of OneStoreTransaction. Logic: TopicKey is populated by joining EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with ConversationId column from FactMessaging present in UDPMLGCS Datamart and selected Topic Key,ok,,,
HardCoded to 1 indicating count of order for every OneStoreTransaction,OK,,,
"SurrogateKey generated on combination of OrderId, LineItemId, OrderStatus columns coming from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, MsOrder-Materialized DeltaStream files coming from upstream source cornerstone, Asimov.v4.Cll file coming from upstream source cornerstone, RevenueReport-Insession and CrossSession excel files provided by Store Business Team Sources",ok,,,
"This is a reference key to DimResourceGroup table to get  info about the AgentGroup. Logic: ResourceGroupKey is populated by joining the Agent_Group coming from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team with ResourceGroupName in the DimResourceGroup",ok,,,
"This is a reference key to DimTransactionType table to get info about the Transaction Type of the Onestore Orders. Logic: TransactionTypeKey is populated by joining the TransactionType of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone and HardCoded Values 'Sales' from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team with TransactionType in the DimTransactionType",ok,,,
"Derived by applying decode logic on Quantity column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team and Quantity column coming from MsOrder-Materialized DeltaStream files coming from upstream source cornerstone and Asimov.v4.Cll file coming from upstream source cornerstone.
Logic: if MsOrder.Quantity != Asimovcll.Quantity and MsOrder.Quantity < 0 then Asimovcll.Quantity * (-1)
if MsOrder.Quantity != Asimovcll.Quantity then Asimovcll.Quantity else MsOrder.Quantity
otherwise Asimovcll.Quantity",ok,,,
This is a reference key to FactServiceRequest table to get details about the Case related flags. Logic: FirstServiceLineQueueKey is populated by joining with ServiceRequestId columns of RevenueReport-Insession and CrossSession excel files provided by Store Business Team and Asimov.v4.Cll file coming from upstream source cornerstone with ServiceRequestId from FactServiceRequest,ok,,,
"This is a reference key to DimResourceTenure table to get details of the TenureRange of Agent worked on OneStore Order. Logic: ResourceTenureKey is populated by joining the Alias,Agent and Alias columns coming from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team source; RevenueReport-Insession and CrossSession excel files provided by Store Business Team; Asimov.v4.Cll file coming from upstream source cornerstone respectively with Userid in the DimEmployee and DimEmployee joined with DimResourceTenure by TenureRange column in DImEmployee and ResourceTenureDaysRange column in DimResourceTenure",ok,,,
"This is a reference key to DimGeography table to get info about the Region details of the Onestore Orders. Logic: GeographyKey is populated by joining the MarketName column of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone and Country_Name column from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team with CountryShortName in DimGeography",ok,,,
Direct Mapping to Skill Column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team having string values,ok,,,
"This is a reference key to DimServiceLine table to get info about the Offer and ProductLOB details of the Onestore Orders. Logic: ServiceLIneKey is populated by joining the Offer column and HardCoded Value “Sales - MS Store Online” from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team,  LOBRollUp column of viw_Consumer_QueueAttributes view from MDM (Master Data Management) source which contains unique quadrant names from subject areas like Incident, MDM, Phone, Chat with LifeCycleName and ServiceLineName columns in DimServiceLine",ok,,,
This is a reference key to DimRootCauseClassification table to get the rootcause details of OneStoreTransaction. Logic: RootCauseClassificationKey is populated by joining EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with ConversationId column from FactMessaging present in UDPMLGCS Datamart and selected RootCauseClassificationKey,ok,,,
This is a reference key to DimSupportLanguage table to get info about the SupportLanguage details of the Onestore Orders. Logic: SupportLanguageKey is populated by joining the IsoLanguageName of viw_Consumer_SupportLanguage_Leaf and viw_Consumer_QueueAttributes views from MDM (Master Data Management) Source with SupportLanguageName in DimSupportLanguage,ok,,,
Timestamp in UTC at which record is inserted by ETL process in UDP,ok,,,
This is a reference key to DimState table to get info about the OrderStatus details of the Onestore Orders. Logic: StateKey is populated by joining the _fixedOrderStatus of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone  and OrderState column of Asimov.v4.Cll file coming from upstream source cornerstone with State in DimState,ok,,,
"This is a reference key to DimSolutionType table to get info about the Offer details of the Onestore Orders. Logic: SolutionTypeKey is populated by joining the Offer column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team with SolutionType in DimSolutionType",ok,,,
"This is a reference key to DimDataSource table to get info about from which source Onestore Orders coming. Logic: DataSourceKey is populated by joining the HardCoded Value 'ChinaConsumer','ChinaSMB' values of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, HardCoded Value 'OneStorePOBO' of Asimov.v4.Cll file coming from upstream source cornerstone, HardCoded value 'OneStoreLivePerson' of RevenueReport-Insession and CrossSession excel files provided by Store Business Team  with DataSourceName in DimDataSource",ok,,,
"This is a reference key to DimDate table to get info about the Transaction Day details of the Onestore Orders. Logic: UTCDateKey is populated by joining the Order_Date column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, GoalTimeStamp column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team and OrderCreatedDate column of Asimov.v4.Cll file coming from upstream source cornerstone with CalendarDate in DimDate",ok,,,
This is a reference column from FactMessaging table to get the Proactive details of OneStoreTransaction. Logic: IsProactive is populated by joining EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with ConversationId column from FactMessaging.,ok,,,
Direct Mapping to _fixedLineItemId column of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone and LineItemId column of Asimov.v4.Cll file coming from upstream source cornerstone.,ok,,,
"Direct Mapping by UNION of Order_Date column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, GoalTimeStamp column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team and OrderCreatedDate column of Asimov.v4.Cll file coming from upstream source cornerstone.",ok,,,
"This is a reference key to DimCustomerSalesRegion table to get Sales Region details of the Onestore Orders. Logic: SalesRegionKey is populated by joining the MarketName column of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone and Country_Name column from MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team with GeographyKey in FactChatGeographyKey_Dimgeoregion and FactChatGeographyKey_Dimgeoregion joined with DimCustomerSalesRegion by CountryShortName column in FactChatGeographyKey_Dimgeoregion and CountryName column in DimCustomerSalesRegion",ok,,,
This is a reference key to DimSuportAreaPath table to get the SAPHierarchy details of OneStoreTransaction. Logic: SAPKey is populated by joining EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with ConversationId column from FactMessaging present in UDPMLGCS Datamart and selected SAPKey,ok,,,
"This is a reference key to DimSupportChannel table to get info about the SupportChannel details of the Onestore Orders. Logic: SupportChannelKey is populated by joining the Web_Phone column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, HardCoded Value 'Chat' of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with SupportChannelName in DimSupportChannel",ok,,,
This is a reference key to DimSupportProduct table to get details about the Case related flags. Logic: SupportProductKey is populated by joining with ServiceRequestId columns of RevenueReport-Insession and CrossSession excel files provided by Store Business Team and Asimov.v4.Cll file coming from upstream source cornerstone with ServiceRequestId from FactServiceRequest,ok,,,
This is a reference column from FactMessaging table to get the Interactive details of OneStoreTransaction. Logic: IsInteractive is populated by joining EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with ConversationId column from FactMessaging.,ok,,,
"This is a reference key to DimTime table to get info about the Transaction DayTime details of the Onestore Orders. Logic: UTCTimeKey is populated by joining the taking time values of Order_Date column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, time value of GoalTimeStamp column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team and time value of OrderCreatedDate column of Asimov.v4.Cll file coming from upstream source cornerstone with Time in DimTime",ok,,,
"Derived by applying decode logic on UnitsSold coming from FactRevenue present in UDPMLGCS DataMart and ServiceLineName,FullName,MasterSite,SolutionType,DataSourceName,BusinessSegment & ProductFamily columns from DimServiceLine, DimSupportQueue, DimVendorSite, DimSolutionType, DimDataSource, DimSupportQueue & DimSupportAreaPath tables coming from UDP Consumer within SA&DP.
Logic: If ~(lower('DimServiceLine.ServiceLineName').like('%smb%'))
       and ~(lower('DimSupportQueue.FullName').like('%smb%'))
       and ~(lower('DimVendorSite.MasterSite').isin('wcs', 'web sales support'))
       and (lower('DimSolutionType.SolutionType').isin('product'))
       and (col('m.UnitsSold')> -1)
       and ~(lower('DimDataSource.DataSourceName').isin('chinasmb'))
	   then HardCoded as ""Store""
	   Else If lower('DimSupportQueue.BusinessSegment')=='mast'
	   then HardCoded as 'Advertiser'
	   Else If lower('DimSupportAreaPath.ProductFamily')=='microsoft 365 consumer retention'
       then HardCoded as 'SaveDesk' 
       Otherwise HardCoded as 'Unspecified' gives BusinessSegment
Logic 2: BusinessSegment joined with DimBusinessSegmentUnit by BusinessSegment from both tables and selected BusinessSegmentUnitKey",ok,,,
"This is a reference key to DimDate table to get info about the Transaction Day details of the Onestore Orders. Logic: UTCDateKey is populated by joining the Order_Date column of MC_PRCSites_open_demand_daily, MC_PRCSites_open_demand_SMB & MC_PRCSites_open_demand_SOCIAL excel files provided by Store Business Team, GoalTimeStamp column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team and OrderCreatedDate column of Asimov.v4.Cll file coming from upstream source cornerstone with CalendarDate converted to PST in DimDate",ok,,,
Direct Mapping to StoreClientId column of MsOrder-Materialized DeltaStream files coming from upstream source cornerstone having string values,ok,,,
Direct Mapping to EngagementId column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team having string values,ok,,,
This is a reference key to DimSupportQueue table to get info about the Queue details of the Onestore Orders. Logic: SupportQueue is populated by joining the Skill column of RevenueReport-Insession and CrossSession excel files provided by Store Business Team with fullname in DimSupportQueue,ok,,,
